concept,member,member type,sort weight,void/retire,_version:1
269f89bd-3e4c-503a-8afd-5b65e22d763f,2c006f71-3940-4e65-91e3-47c0b50d8a55,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,9ea0f55e-a0e9-4cb0-95c6-a72f99919789,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,99e2bacc-470b-45c0-aec1-82d2edf25ae2,concept-set,1,,1
baf53c7a-8bce-55a8-9bd2-c58b4ff4ed15,99e2bacc-470b-45c0-aec1-82d2edf25ae2,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,f04b81a2-8506-4ced-8d04-53b87f585f0f,concept-set,1,,1
3c94da9b-640e-540b-89c1-fbbdf948ab6b,f04b81a2-8506-4ced-8d04-53b87f585f0f,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,eb85579f-db38-464b-9276-892c3e680942,concept-set,1,,1
f534a99b-a9f2-5054-841d-495f41fe97d3,eb85579f-db38-464b-9276-892c3e680942,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,44950116-96c7-463d-a703-007389b0b5d4,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,7867b14e-b8f8-4b1f-985d-d0f7372496ef,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,d019115e-182b-4ebc-8f8e-8c1d7b7f9c48,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,09a7586b-ae41-4390-992a-bcc4679170ea,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,150dae22-60f5-4d75-b861-b84c029581bd,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,c0c0189a-28e2-4efc-a8a3-2b518ae73861,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,ddd96a08-8a98-484a-a804-2367fb1364d9,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,10c3b9ef-2e74-4c8f-a0ab-eedfa40c2092,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,11fe600d-a927-46e1-8472-0b90ffe3bdbe,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,fb5faa45-fb2f-499b-9696-76d3e5e69600,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,6209eac4-c75e-4e56-aca1-3ecf618c5234,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,53c78fd6-da0f-4b7b-acad-01ab1b126239,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,a319311d-b549-4d58-9b96-a493832a45ca,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,d267e69e-a42d-49f1-b67d-d0a8044cb1f4,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,c9ae9c3b-d1d4-40f1-8ce1-b4ed60ed2364,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,d1528d69-91c4-466a-8681-36e2bb065faa,concept-set,1,,1
7e8bae53-bf6f-47f0-a05d-8a34644f6ec9,83f83374-5aaa-4f41-9b6c-62945efcc680,concept-set,1,,1
