concept,member,member type,sort weight
Obstructed labour due to malposition or malpresentation of fetus (Super-Category),Obstructed labour due to malposition or malpresentation of fetus,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Obstructed labour due to maternal pelvic abnormality (Super-Category),concept-set,31
Obstructed labour due to maternal pelvic abnormality (Super-Category),Obstructed labour due to maternal pelvic abnormality,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Obstructed labour due to other causes (Super-Category),concept-set,32
Obstructed labour due to other causes (Super-Category),Obstructed labour due to other causes,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Labour or delivery complicated by fetal distress (Super-Category),concept-set,33
Labour or delivery complicated by fetal distress (Super-Category),Labour or delivery complicated by fetal distress,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Labour or delivery complicated by umbilical cord complications (Super-Category),concept-set,34
Labour or delivery complicated by umbilical cord complications (Super-Category),Labour or delivery complicated by umbilical cord complications,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Perineal laceration during delivery (Super-Category),concept-set,35
Perineal laceration during delivery (Super-Category),Perineal laceration during delivery,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium","Retained placenta or membranes, without haemorrhage (Super-Category)",concept-set,36
"Retained placenta or membranes, without haemorrhage (Super-Category)",Retained placenta without haemorrhage,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Other specified complications of labour or delivery (Super-Category),concept-set,37
Other specified complications of labour or delivery (Super-Category),Other specified complications of labour or delivery,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Single spontaneous delivery (Super-Category),concept-set,38
Single spontaneous delivery (Super-Category),Single spontaneous delivery,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Single delivery by forceps or vacuum extractor (Super-Category),concept-set,39
Single delivery by forceps or vacuum extractor (Super-Category),Single delivery by forceps or vacuum extractor,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Single delivery by caesarean section (Super-Category),concept-set,40
Single delivery by caesarean section (Super-Category),Single delivery by caesarean section,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Other assisted single delivery (Super-Category),concept-set,41
Other assisted single delivery (Super-Category),Other assisted single delivery,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Other assisted single delivery (Super-Category),concept-set,42
Other assisted single delivery (Super-Category),Breech extraction,concept-set,2
"Chapter 18: Pregnancy, childbirth or the puerperium",Multiple delivery (Super-Category),concept-set,43
Multiple delivery (Super-Category),"Multiple delivery, unspecified",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium","Delivery, unspecified (Super-Category)",concept-set,44
"Delivery, unspecified (Super-Category)","Delivery, unspecified",concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Infections in the puerperium (Super-Category),concept-set,45
Infections in the puerperium (Super-Category),Puerperal sepsis,concept-set,1
"Chapter 18: Pregnancy, childbirth or the puerperium",Infections of breast associated with childbirth (Super-Category),concept-set,46
Infections of breast associated with childbirth (Super-Category),Infections of breast associated with childbirth,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Fetus or newborn affected by certain complications of labour or delivery (Super-Category),concept-set,1
Fetus or newborn affected by certain complications of labour or delivery (Super-Category),Fetus or newborn affected by certain complications of labour or delivery,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Disorders of newborn related to slow fetal growth or fetal malnutrition (Super-Category),concept-set,2
Disorders of newborn related to slow fetal growth or fetal malnutrition (Super-Category),Small for gestational age,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,"Disorders of newborn related to short gestation or low birth weight, not elsewhere classified (Super-Category)",concept-set,3
"Disorders of newborn related to short gestation or low birth weight, not elsewhere classified (Super-Category)",Low birth weight of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,"Disorders of newborn related to short gestation or low birth weight, not elsewhere classified (Super-Category)",concept-set,4
"Disorders of newborn related to short gestation or low birth weight, not elsewhere classified (Super-Category)",Preterm newborn,concept-set,2
Chapter 19: Certain conditions originating in the perinatal period,Disorders of newborn related to long gestation or high birth weight (Super-Category),concept-set,5
Disorders of newborn related to long gestation or high birth weight (Super-Category),Large newborn for gestational age,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Disorders of newborn related to long gestation or high birth weight (Super-Category),concept-set,6
Disorders of newborn related to long gestation or high birth weight (Super-Category),Post-term newborn,concept-set,2
Chapter 19: Certain conditions originating in the perinatal period,Birth injury to eye (Super-Category),concept-set,7
Birth injury to eye (Super-Category),Birth injury to eye,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth injury to scalp (Super-Category),concept-set,8
Birth injury to scalp (Super-Category),Birth injury to scalp,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth injury to skin or soft tissues (Super-Category),concept-set,9
Birth injury to skin or soft tissues (Super-Category),Birth injury to skin or soft tissues,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth injury to peripheral nervous system (Super-Category),concept-set,10
Birth injury to peripheral nervous system (Super-Category),Birth injury to peripheral nervous system,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth injury to other organs (Super-Category),concept-set,11
Birth injury to other organs (Super-Category),Birth injury to other organs,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Sepsis of fetus or newborn (Super-Category),concept-set,12
Sepsis of fetus or newborn (Super-Category),Sepsis of fetus or newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal infections of certain specified sites (Super-Category),concept-set,13
Neonatal infections of certain specified sites (Super-Category),Omphalitis of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Fetal blood loss (Super-Category),concept-set,14
Fetal blood loss (Super-Category),Fetal blood loss,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Umbilical haemorrhage of newborn (Super-Category),concept-set,15
Umbilical haemorrhage of newborn (Super-Category),Umbilical haemorrhage of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal kernicterus (Super-Category),concept-set,16
Neonatal kernicterus (Super-Category),Neonatal kernicterus,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal vitamin K deficiency (Super-Category),concept-set,17
Neonatal vitamin K deficiency (Super-Category),Neonatal vitamin K deficiency,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal hydrocephalus (Super-Category),concept-set,18
Neonatal hydrocephalus (Super-Category),Neonatal hydrocephalus,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal seizures (Super-Category),concept-set,19
Neonatal seizures (Super-Category),Neonatal seizures,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth asphyxia (Super-Category),concept-set,20
Birth asphyxia (Super-Category),Birth asphyxia,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Respiratory distress of newborn (Super-Category),concept-set,21
Respiratory distress of newborn (Super-Category),Respiratory distress syndrome of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal aspiration syndromes (Super-Category),concept-set,22
Neonatal aspiration syndromes (Super-Category),Neonatal aspiration of meconium,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Neonatal aspiration syndromes (Super-Category),concept-set,23
Neonatal aspiration syndromes (Super-Category),Neonatal aspiration of milk or regurgitated food,concept-set,2
Chapter 19: Certain conditions originating in the perinatal period,Apnoea of newborn (Super-Category),concept-set,24
Apnoea of newborn (Super-Category),Apnoea of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Respiratory arrest of newborn (Super-Category),concept-set,25
Respiratory arrest of newborn (Super-Category),Respiratory arrest of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Certain specified transitory neonatal electrolyte or metabolic disturbances (Super-Category),concept-set,26
Certain specified transitory neonatal electrolyte or metabolic disturbances (Super-Category),Dehydration of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Intestinal obstruction of newborn (Super-Category),concept-set,27
Intestinal obstruction of newborn (Super-Category),Intestinal obstruction of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Conditions involving the umbilical cord (Super-Category),concept-set,28
Conditions involving the umbilical cord (Super-Category),Delayed separation of umbilical cord,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Environmental hyperthermia of newborn (Super-Category),concept-set,29
Environmental hyperthermia of newborn (Super-Category),Environmental hyperthermia of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Hypothermia of newborn (Super-Category),concept-set,30
Hypothermia of newborn (Super-Category),Hypothermia of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Birth depression (Super-Category),concept-set,31
Birth depression (Super-Category),Birth depression,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Feeding problems of newborn (Super-Category),concept-set,32
Feeding problems of newborn (Super-Category),Feeding problems of newborn,concept-set,1
Chapter 19: Certain conditions originating in the perinatal period,Other specified disorders originating in the perinatal period (Super-Category),concept-set,33
Other specified disorders originating in the perinatal period (Super-Category),Other specified disorders originating in the perinatal period,concept-set,1
Chapter 20: Developmental anomalies,Cleft lip (Super-Category),concept-set,1
Cleft lip (Super-Category),Cleft lip,concept-set,1
Chapter 20: Developmental anomalies,Cleft palate (Super-Category),concept-set,2
Cleft palate (Super-Category),Cleft palate,concept-set,1
Chapter 20: Developmental anomalies,Structural developmental anomalies of vagina (Super-Category),concept-set,3
Structural developmental anomalies of vagina (Super-Category),Imperforate hymen,concept-set,1
Chapter 20: Developmental anomalies,Cryptorchidism (Super-Category),concept-set,4
Cryptorchidism (Super-Category),Ectopic testis,concept-set,1
Chapter 20: Developmental anomalies,"Syndromes with multiple structural anomalies, without predominant body system involvement (Super-Category)",concept-set,5
"Syndromes with multiple structural anomalies, without predominant body system involvement (Super-Category)","Syndromes with multiple structural anomalies, without predominant body system involvement, unspecified",concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified","Microbiological findings in blood, blood-forming organs, or the immune system (Super-Category)",concept-set,1
"Microbiological findings in blood, blood-forming organs, or the immune system (Super-Category)",Bacteraemia,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Certain clinical findings of blood chemistry (Super-Category),concept-set,2
Certain clinical findings of blood chemistry (Super-Category),Elevated blood glucose level,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Certain clinical findings of blood chemistry (Super-Category),concept-set,3
Certain clinical findings of blood chemistry (Super-Category),Low haemoglobin,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Speech disturbances (Super-Category),concept-set,4
Speech disturbances (Super-Category),Speech disturbances,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified","Symptoms, signs or clinical findings involving consciousness (Super-Category)",concept-set,5
"Symptoms, signs or clinical findings involving consciousness (Super-Category)",Stupor,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified","Symptoms, signs or clinical findings involving consciousness (Super-Category)",concept-set,6
"Symptoms, signs or clinical findings involving consciousness (Super-Category)",Coma,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified","Symptoms, signs or clinical findings involving cognition (Super-Category)",concept-set,7
"Symptoms, signs or clinical findings involving cognition (Super-Category)",Amnesia,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormality of tonus and reflex (Super-Category),concept-set,8
Abnormality of tonus and reflex (Super-Category),Cramp or spasm,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormality of tonus and reflex (Super-Category),concept-set,9
Abnormality of tonus and reflex (Super-Category),Fasciculation,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormality of tonus and reflex (Super-Category),concept-set,10
Abnormality of tonus and reflex (Super-Category),Opisthotonos,concept-set,3
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Dizziness and giddiness (Super-Category),concept-set,11
Dizziness and giddiness (Super-Category),Vertigo,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Hemiplegia (Super-Category),concept-set,12
Hemiplegia (Super-Category),"Hemiplegia, unspecified",concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Paraplegia (Super-Category),concept-set,13
Paraplegia (Super-Category),Paraplegia,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Eye discharge (Super-Category),concept-set,14
Eye discharge (Super-Category),Eye discharge,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Red eye (Super-Category),concept-set,15
Red eye (Super-Category),Red eye,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Pallor conjunctiva (Super-Category),concept-set,16
Pallor conjunctiva (Super-Category),Pallor conjunctiva,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Icteric sclera (Super-Category),concept-set,17
Icteric sclera (Super-Category),Icteric sclera,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Visual floaters (Super-Category),concept-set,18
Visual floaters (Super-Category),Visual floaters,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Tinnitus (Super-Category),concept-set,19
Tinnitus (Super-Category),Tinnitus,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified","Abnormal blood-pressure reading, without diagnosis (Super-Category)",concept-set,20
"Abnormal blood-pressure reading, without diagnosis (Super-Category)","Elevated blood-pressure reading, without diagnosis of hypertension",concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of heart beat (Super-Category),concept-set,21
Abnormalities of heart beat (Super-Category),"Tachycardia, unspecified",concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of heart beat (Super-Category),concept-set,22
Abnormalities of heart beat (Super-Category),"Bradycardia, unspecified",concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of heart beat (Super-Category),concept-set,23
Abnormalities of heart beat (Super-Category),Palpitations,concept-set,3
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Gangrene (Super-Category),concept-set,24
Gangrene (Super-Category),Gangrene,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of breathing (Super-Category),concept-set,25
Abnormalities of breathing (Super-Category),Hiccough,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of breathing (Super-Category),concept-set,26
Abnormalities of breathing (Super-Category),Hyperventilation,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of breathing (Super-Category),concept-set,27
Abnormalities of breathing (Super-Category),Nasal congestion,concept-set,3
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of breathing (Super-Category),concept-set,28
Abnormalities of breathing (Super-Category),Stridor,concept-set,4
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities of breathing (Super-Category),concept-set,29
Abnormalities of breathing (Super-Category),Wheezing,concept-set,5
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Cough (Super-Category),concept-set,30
Cough (Super-Category),Cough,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Epistaxis (Super-Category),concept-set,31
Epistaxis (Super-Category),Epistaxis,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Haemoptysis (Super-Category),concept-set,32
Haemoptysis (Super-Category),Haemoptysis,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Pleurisy (Super-Category),concept-set,33
Pleurisy (Super-Category),Pleurisy,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abdominal or pelvic pain (Super-Category),concept-set,34
Abdominal or pelvic pain (Super-Category),Acute abdomen,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Dyspepsia (Super-Category),concept-set,35
Dyspepsia (Super-Category),Dyspepsia,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Halitosis (Super-Category),concept-set,36
Halitosis (Super-Category),Halitosis,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abdominal distension (Super-Category),concept-set,37
Abdominal distension (Super-Category),Abdominal distension,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abdominal rigidity (Super-Category),concept-set,38
Abdominal rigidity (Super-Category),Abdominal rigidity,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Ascites (Super-Category),concept-set,39
Ascites (Super-Category),Ascites,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Change in bowel habit (Super-Category),concept-set,40
Change in bowel habit (Super-Category),Constipation,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Change in bowel habit (Super-Category),concept-set,41
Change in bowel habit (Super-Category),Diarrhoea,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Faecal incontinence (Super-Category),concept-set,42
Faecal incontinence (Super-Category),Faecal incontinence,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Rectal tenesmus (Super-Category),concept-set,43
Rectal tenesmus (Super-Category),Rectal tenesmus,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormalities related to hepatobiliary system (Super-Category),concept-set,44
Abnormalities related to hepatobiliary system (Super-Category),Unspecified jaundice,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Clinical manifestations of the digestive system (Super-Category),concept-set,45
Clinical manifestations of the digestive system (Super-Category),Melaena,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Non-specific cutaneous vascular signs (Super-Category),concept-set,46
Non-specific cutaneous vascular signs (Super-Category),Cyanosis,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Non-specific cutaneous vascular signs (Super-Category),concept-set,47
Non-specific cutaneous vascular signs (Super-Category),Pallor,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Miscellaneous non-specific skin-related symptoms and signs (Super-Category),concept-set,48
Miscellaneous non-specific skin-related symptoms and signs (Super-Category),Rash,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Spinal pain (Super-Category),concept-set,49
Spinal pain (Super-Category),Low back pain,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Spinal pain (Super-Category),concept-set,50
Spinal pain (Super-Category),Sciatica,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Stiffness of joint (Super-Category),concept-set,51
Stiffness of joint (Super-Category),Stiffness of joint,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Breast lump or mass female (Super-Category),concept-set,52
Breast lump or mass female (Super-Category),Breast lump or mass female,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Vaginal discharge (Super-Category),concept-set,53
Vaginal discharge (Super-Category),Vaginal discharge,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormal micturition (Super-Category),concept-set,54
Abnormal micturition (Super-Category),Urinary incontinence,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormal micturition (Super-Category),concept-set,55
Abnormal micturition (Super-Category),Retention of urine,concept-set,2
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormal micturition (Super-Category),concept-set,56
Abnormal micturition (Super-Category),Haematuria,concept-set,3
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Abnormal micturition (Super-Category),concept-set,57
Abnormal micturition (Super-Category),Dysuria,concept-set,4
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Anuria or oliguria (Super-Category),concept-set,58
Anuria or oliguria (Super-Category),Anuria or oliguria,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Polyuria (Super-Category),concept-set,59
Polyuria (Super-Category),Polyuria,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Renal colic (Super-Category),concept-set,60
Renal colic (Super-Category),Renal colic,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Urethral discharge (Super-Category),concept-set,61
Urethral discharge (Super-Category),Urethral discharge,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Haemoglobinuria (Super-Category),concept-set,62
Haemoglobinuria (Super-Category),Haemoglobinuria,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Proteinuria (Super-Category),concept-set,63
Proteinuria (Super-Category),Proteinuria,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Pyuria (Super-Category),concept-set,64
Pyuria (Super-Category),Pyuria,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Fatigue (Super-Category),concept-set,65
Fatigue (Super-Category),Fatigue,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Oedema (Super-Category),concept-set,66
Oedema (Super-Category),Oedema,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Shock (Super-Category),concept-set,67
Shock (Super-Category),Shock,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Symptoms and signs concerning food and fluid intake (Super-Category),concept-set,68
Symptoms and signs concerning food and fluid intake (Super-Category),Polydipsia,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Syncope and collapse (Super-Category),concept-set,69
Syncope and collapse (Super-Category),Syncope and collapse,concept-set,1
"Chapter 21: Symptoms, signs or clinical findings, not elsewhere classified",Sudden infant death syndrome (Super-Category),concept-set,70
Sudden infant death syndrome (Super-Category),Sudden infant death syndrome,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Superficial injury of head (Super-Category),concept-set,1
Superficial injury of head (Super-Category),Superficial injury of head,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Superficial injury of head (Super-Category),concept-set,2
Superficial injury of head (Super-Category),Other specified superficial injury of scalp,concept-set,2
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Superficial injury of head (Super-Category),concept-set,3
Superficial injury of head (Super-Category),Superficial injury of eyelid or periocular area,concept-set,3
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Open wound of head (Super-Category),concept-set,4
Open wound of head (Super-Category),Open wound of head,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of skull or facial bones (Super-Category),concept-set,5
Fracture of skull or facial bones (Super-Category),Fracture of skull or facial bones,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of skull or facial bones (Super-Category),concept-set,6
Fracture of skull or facial bones (Super-Category),Fracture of base of skull,concept-set,2
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of skull or facial bones (Super-Category),concept-set,7
Fracture of skull or facial bones (Super-Category),Fracture of nasal bones,concept-set,3
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of skull or facial bones (Super-Category),concept-set,8
Fracture of skull or facial bones (Super-Category),Fracture of mandible,concept-set,4
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Dislocation or strain or sprain of joints or ligaments of head (Super-Category),concept-set,9
Dislocation or strain or sprain of joints or ligaments of head (Super-Category),Dislocation of jaw,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of cranial nerves (Super-Category),concept-set,10
Injury of cranial nerves (Super-Category),Injury of cranial nerves,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of eye or orbit (Super-Category),concept-set,11
Injury of eye or orbit (Super-Category),Traumatic injury to eyeball,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Intracranial injury (Super-Category),concept-set,12
Intracranial injury (Super-Category),Intracranial injury,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Intracranial injury (Super-Category),concept-set,13
Intracranial injury (Super-Category),Concussion,concept-set,2
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Crushing injury of head (Super-Category),concept-set,14
Crushing injury of head (Super-Category),Crushing injury of head,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Traumatic amputation of part of head (Super-Category),concept-set,15
Traumatic amputation of part of head (Super-Category),Avulsion of scalp,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Certain specified injuries of head (Super-Category),concept-set,16
Certain specified injuries of head (Super-Category),Other specified injuries of head,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Superficial injury of neck (Super-Category),concept-set,17
Superficial injury of neck (Super-Category),Superficial injury of neck,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Open wound of neck (Super-Category),concept-set,18
Open wound of neck (Super-Category),Open wound of neck,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of neck (Super-Category),concept-set,19
Fracture of neck (Super-Category),Fracture of neck,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Other specified injuries to the neck (Super-Category),concept-set,20
Other specified injuries to the neck (Super-Category),Other specified injuries to the neck,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Open wound of thorax (Super-Category),concept-set,21
Open wound of thorax (Super-Category),Open wound of thorax,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes","Fracture of rib, sternum or thoracic spine (Super-Category)",concept-set,22
"Fracture of rib, sternum or thoracic spine (Super-Category)",Fracture of rib,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes","Fracture of rib, sternum or thoracic spine (Super-Category)",concept-set,23
"Fracture of rib, sternum or thoracic spine (Super-Category)",Multiple fractures of ribs,concept-set,2
"Chapter 22: Injury, poisoning or certain other consequences of external causes","Fracture of rib, sternum or thoracic spine (Super-Category)",concept-set,24
"Fracture of rib, sternum or thoracic spine (Super-Category)",Flail chest,concept-set,3
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of heart (Super-Category),concept-set,25
Injury of heart (Super-Category),Injury of heart,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of other or unspecified intrathoracic organs (Super-Category),concept-set,26
Injury of other or unspecified intrathoracic organs (Super-Category),Traumatic pneumothorax,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of other or unspecified intrathoracic organs (Super-Category),concept-set,27
Injury of other or unspecified intrathoracic organs (Super-Category),Traumatic haemothorax,concept-set,2
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Injury of other or unspecified intrathoracic organs (Super-Category),concept-set,28
Injury of other or unspecified intrathoracic organs (Super-Category),Traumatic haemopneumothorax,concept-set,3
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Other specified injuries to the thorax (Super-Category),concept-set,29
Other specified injuries to the thorax (Super-Category),Other specified injuries to the thorax,concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes","Superficial injury of abdomen, lower back or pelvis (Super-Category)",concept-set,30
"Superficial injury of abdomen, lower back or pelvis (Super-Category)","Superficial injury of abdomen, lower back or pelvis",concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes","Open wound of abdomen, lower back or pelvis (Super-Category)",concept-set,31
"Open wound of abdomen, lower back or pelvis (Super-Category)","Open wound of abdomen, lower back or pelvis",concept-set,1
"Chapter 22: Injury, poisoning or certain other consequences of external causes",Fracture of lumbar spine or pelvis (Super-Category),concept-set,32
