concept,member,member type,sort weight
Malignant neoplasms of testis (Super-Category),Malignant neoplasms of testis,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of prostate (Super-Category),concept-set,20
Malignant neoplasms of prostate (Super-Category),Malignant neoplasms of prostate,concept-set,1
Chapter 2: Neoplasms,"Malignant neoplasms of kidney, except renal pelvis (Super-Category)",concept-set,21
"Malignant neoplasms of kidney, except renal pelvis (Super-Category)","Malignant neoplasms of kidney, except renal pelvis",concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of bladder (Super-Category),concept-set,22
Malignant neoplasms of bladder (Super-Category),Malignant neoplasms of bladder,concept-set,1
Chapter 2: Neoplasms,Malignant neoplasms of thyroid gland (Super-Category),concept-set,23
Malignant neoplasms of thyroid gland (Super-Category),Malignant neoplasms of thyroid gland,concept-set,1
Chapter 2: Neoplasms,Carcinoma in situ of cervix uteri (Super-Category),concept-set,24
Carcinoma in situ of cervix uteri (Super-Category),Carcinoma in situ of cervix uteri,concept-set,1
Chapter 2: Neoplasms,Benign lipomatous neoplasm (Super-Category),concept-set,25
Benign lipomatous neoplasm (Super-Category),Lipoma,concept-set,1
Chapter 2: Neoplasms,Benign smooth muscle or skeletal muscle tumour (Super-Category),concept-set,26
Benign smooth muscle or skeletal muscle tumour (Super-Category),Leiomyoma of uterus,concept-set,1
Chapter 2: Neoplasms,Benign neoplasm of other or unspecified female genital organs (Super-Category),concept-set,27
Benign neoplasm of other or unspecified female genital organs (Super-Category),Benign neoplasm of other or unspecified female genital organs,concept-set,1
Chapter 3: Diseases of the blood or blood-forming organs,Iron deficiency anaemia (Super-Category),concept-set,1
Iron deficiency anaemia (Super-Category),"Iron deficiency anaemia, unspecified",concept-set,1
Chapter 3: Diseases of the blood or blood-forming organs,Other specified anaemias and erythrocyte disorders (Super-Category),concept-set,2
Other specified anaemias and erythrocyte disorders (Super-Category),Other specified anaemias and erythrocyte disorders,concept-set,1
Chapter 3: Diseases of the blood or blood-forming organs,Other specified diseases of the blood or blood-forming organs (Super-Category),concept-set,3
Other specified diseases of the blood or blood-forming organs (Super-Category),Other specified diseases of the blood or blood-forming organs,concept-set,1
Chapter 4: Diseases of the immune system,Other specified primary immunodeficiencies (Super-Category),concept-set,1
Other specified primary immunodeficiencies (Super-Category),Other specified primary immunodeficiencies,concept-set,1
Chapter 4: Diseases of the immune system,Vasculitis (Super-Category),concept-set,2
Vasculitis (Super-Category),Giant cell arteritis,concept-set,1
Chapter 4: Diseases of the immune system,Anaphylaxis (Super-Category),concept-set,3
Anaphylaxis (Super-Category),Anaphylaxis,concept-set,1
Chapter 4: Diseases of the immune system,Allergic or hypersensitivity conditions of other specified type (Super-Category),concept-set,4
Allergic or hypersensitivity conditions of other specified type (Super-Category),Allergic or hypersensitivity conditions of other specified type,concept-set,1
Chapter 4: Diseases of the immune system,Other specified diseases of the immune system (Super-Category),concept-set,5
Other specified diseases of the immune system (Super-Category),Other specified diseases of the immune system,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Hypothyroidism (Super-Category),concept-set,1
Hypothyroidism (Super-Category),Hypothyroidism,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Hypothyroidism (Super-Category),concept-set,2
Hypothyroidism (Super-Category),"Nontoxic goitre, unspecified",concept-set,2
"Chapter 5: Endocrine, nutritional or metabolic diseases",Thyrotoxicosis (Super-Category),concept-set,3
Thyrotoxicosis (Super-Category),Thyrotoxicosis,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Type 1 diabetes mellitus (Super-Category),concept-set,4
Type 1 diabetes mellitus (Super-Category),Type 1 diabetes mellitus,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Type 2 diabetes mellitus (Super-Category),concept-set,5
Type 2 diabetes mellitus (Super-Category),Type 2 diabetes mellitus,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases","Diabetes mellitus, type unspecified (Super-Category)",concept-set,6
"Diabetes mellitus, type unspecified (Super-Category)","Diabetes mellitus, type unspecified",concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Intermediate hyperglycaemia (Super-Category),concept-set,7
Intermediate hyperglycaemia (Super-Category),Impaired fasting glucose,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Hypoglycaemia without associated diabetes (Super-Category),concept-set,8
Hypoglycaemia without associated diabetes (Super-Category),Hypoglycaemia without associated diabetes,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Cushing syndrome (Super-Category),concept-set,9
Cushing syndrome (Super-Category),Cushing syndrome,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Ovarian dysfunction (Super-Category),concept-set,10
Ovarian dysfunction (Super-Category),Polycystic ovary syndrome,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases","Underweight in infants, children or adolescents (Super-Category)",concept-set,11
"Underweight in infants, children or adolescents (Super-Category)","Underweight in infants, children or adolescents",concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases","Wasting in infants, children or adolescents (Super-Category)",concept-set,12
"Wasting in infants, children or adolescents (Super-Category)","Wasting in infants, children or adolescents",concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases","Acute malnutrition in infants, children or adolescents (Super-Category)",concept-set,13
