Uuid,Void/Retire,Concept,Member,Member Type,Sort Weight
326dafc4-f217-4b60-aec5-3cb05e33cfa5,,Medical Supply Items,"Insulin Syringe For single use, 0.1ml ,8mm/30G,U 100, Eng+4 Nordic languages",CONCEPT-SET,162
c2ded7d0-f485-4d1a-9b1f-31a79d95dc06,,Medical Supply Items,"Insulin Syringe For single use, 0.3ml ,6mm/30G,U 100 Euro languages",CONCEPT-SET,163
30f5bfbe-f8ac-44dd-997d-f7ad8df5466d,,Medical Supply Items,Superpath Preservative Fluid,CONCEPT-SET,164
d5fee94c-a1f2-4ace-af7c-109a1a2d38d5,,Medical Supply Items,Cryogenic Vial 1.5ml (Nuc Tube),CONCEPT-SET,165
349bf94d-de54-4173-bf6c-ce2b2de81027,,Medical Supply Items,Absorbent Pad With Plastic Backing 17x24 Inch,CONCEPT-SET,166
1c6c43b1-7a46-47cd-9e1e-c15d6cdb584f,,Medical Supply Items,Catheter Metal Femail 15.5cm Channel 12,CONCEPT-SET,167
bd68dfa1-368e-4353-ad1a-d6d3f667f8bb,,Medical Supply Items,Disposable Syringe 2ml Without Needle,CONCEPT-SET,168
23ab9aba-0003-439d-b7b8-8457114fe2e3,,Medical Supply Items,Self Adhering Label Tape Red,CONCEPT-SET,169
02a0aebf-125f-4c4a-8736-c025c1a65a49,,Medical Supply Items,Self Adhering Label Tape blue,CONCEPT-SET,170
0a03bfbf-e94d-499c-a4d3-a1926c3473e8,,Medical Supply Items,Microscope Slide 25x75mm,CONCEPT-SET,171
34fa711b-a360-46fb-b4a9-cd107795cc73,,Medical Supply Items,"BD Vacutainer Tubes PLK2 E 4ml,7.2mg plus",CONCEPT-SET,172
381c3b1d-d5cf-4299-88fd-636808848fec,,Medical Supply Items,Marker,CONCEPT-SET,173
9c0711d6-94e6-4844-8487-8cc03349dc04,,Medical Supply Items,Pipette Tips 200UL White,CONCEPT-SET,174
0934badd-6fb8-47b9-8c9f-7b24a41b541f,,Medical Supply Items,"Urine Collecting Bag 1500 ml, sterilized",CONCEPT-SET,175
7931b135-a273-4a98-9a2c-631965d1f3b3,,Medical Supply Items,Syringe(AD) 1ml,CONCEPT-SET,176
1034efe4-d5b2-4b54-b1be-d1cadbb41663,,Medical Supply Items,Combitip Plus 25ml,CONCEPT-SET,177
72dc71be-00f1-4c26-b107-97896f543726,,Medical Supply Items,Ear Syringe 65ml Rubber,CONCEPT-SET,178
3a69f012-bf5f-40ae-9666-87c8259393ca,,Medical Supply Items,Infectious Waste Container,CONCEPT-SET,179
8b6722ce-384a-46ed-a66c-31085c72ed1e,,Medical Supply Items,Dental Needle 27g long,CONCEPT-SET,180
5ef6a2c6-ac19-4a10-a48e-fb72db5c24d6,,Medical Supply Items,Stool Specimen Container Disposable of Polypropylene with Cover,CONCEPT-SET,181
7c1e8e9e-d70e-4e3f-8533-3bb9c2b50e23,,Medical Supply Items,Face Shield Guardall,CONCEPT-SET,182
8b756ab1-bf6a-40a7-9609-0d46b281215a,,Medical Supply Items,BD Vacutainer Needle Safe Lock 23G,CONCEPT-SET,183
bccb2e2c-2e94-48ea-85ec-371386f7b560,,Medical Supply Items,Gauze Bandage 8cm x 5cm,CONCEPT-SET,184
31d2eb99-aaa9-4bd6-84de-95835e0ca68a,,Medical Supply Items,Gauze Bandage 10cm x 300cm,CONCEPT-SET,185
