Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
05ea4d87-cfed-4702-9a49-c7b6a1425157,,,Gauze Bandage 18cm x 5m mesh 28 x 24,,Medical supply,N/A,,,DAGU Item:2852
66ce9df6-0df6-4971-b969-1d7cd2baf510,,,Sharp Container,,Medical supply,N/A,,,DAGU Item:2862
9e59cd4f-e8e1-4485-ad58-09b1ce9383ad,,,Lense Cleancing Tissue,,Medical supply,N/A,,,DAGU Item:2866
252cf4a2-a308-4c14-a24f-d49203e3adfe,,,Adhesive Tape 5cmx9cm,,Medical supply,N/A,,,DAGU Item:2869
e5995fad-3a44-4804-825c-c64f6b1ea324,,,Pasteur Pipette 3 ml,,Medical supply,N/A,,,DAGU Item:2875
01746020-b24a-40a3-9d7a-7a9783b3a2f4,,,"Cat Gut Chromic 3.5 (2/0), 75 cm HR 38 1/2 C.R.B 38mm heavy needle 334",,Medical supply,N/A,,,DAGU Item:2899
c32501b7-926a-405c-a43b-493a24454d50,,,Biohazard Bags 24x36 of 200,,Medical supply,N/A,,,DAGU Item:2917
73a0b76e-6e25-49ca-a715-78efaafcbe96,,,Auto Disposable Syringe 10ml with needle 21G,,Medical supply,N/A,,,DAGU Item:2919
2085bda0-b4d5-43b6-ad96-12bdd5731b3c,,,Sputem Cup,,Medical supply,N/A,,,DAGU Item:2920
3c822ba8-6b2f-4a66-83ed-3add678e1d89,,,Microscope Slide 76mm x 26mm of 50,,Medical supply,N/A,,,DAGU Item:2927
568ae73a-477d-4717-bb5d-49eff59573d8,,,"Blood Lancets, Disposable Sterile",,Medical supply,N/A,,,DAGU Item:2936
062b4724-ede1-4388-8704-4c9fa128d206,,,Asucryl Synthetic Absorbable Braided Violet (PGA) 2/0 75cm on TS27 3/8C Rev.cutting 27mm 4575,,Medical supply,N/A,,,DAGU Item:2963
1f52790f-cf58-4f67-bc88-216e0ed88e65,,,"Polyamide Monofilament Gauge 0.2 (10/0) 30cm TRM 5 curved, 5mm long R>B. (taper) 100microns, micropoint 543360 dozen",,Medical supply,N/A,,,DAGU Item:2966
c0ab5cdc-adda-4168-9201-5aaedd9b66e0,,,Infant Feeding Tube No.8,,Medical supply,N/A,,,DAGU Item:2978
9468a4ba-3fe2-43c7-b0b3-c2a75d6be42b,,,Rectal Catheter No. 28,,Medical supply,N/A,,,DAGU Item:2989
16b9c282-62c7-4f01-badd-029e1e7e18e4,,,Rectal Catheter No. 30,,Medical supply,N/A,,,DAGU Item:2990
9732efb7-3006-4619-bfcb-a788593bac87,,,Suction Catheter No.6,,Medical supply,N/A,,,DAGU Item:2995
3738cbaa-fb32-49c9-b9f3-431f6b54a21b,,,Suction Catheter No.8,,Medical supply,N/A,,,DAGU Item:2996
338c1220-45a4-4583-b37d-97dcadf57600,,,Suction Catheter with Xroline No.28,,Medical supply,N/A,,,DAGU Item:2998
9a7995cb-4d5e-44f5-8f1f-9cd82c63f7f7,,,Suction Catheter with Xroline No.4,,Medical supply,N/A,,,DAGU Item:2999
fadd3d8d-3333-4248-88fe-2a120844def3,,,Suction Catheter with Xroline No.6,,Medical supply,N/A,,,DAGU Item:3000
7762dff9-1985-4119-8073-63f45f17d461,,,Suction Catheter with Xroline No.8,,Medical supply,N/A,,,DAGU Item:3001
178ad5e2-f95b-4f7d-9b94-3e26bd76ca39,,,Suction Catheter with Xroline No.23,,Medical supply,N/A,,,DAGU Item:3002
b824a25e-529e-4810-96ab-cffeb56c5edd,,,Disposable Syringe 50ml with Needle,,Medical supply,N/A,,,DAGU Item:3006
22117e74-bb53-4013-92d0-d7c42b528e9a,,,Gauze Bandage 5cm x 5m,,Medical supply,N/A,,,DAGU Item:3007
39997f0f-4468-49a8-9a6b-8cc7f714709b,,,Surge Protector,,Medical supply,N/A,,,DAGU Item:3033
cd4acfd8-0eaf-49d5-b320-e89ea2d67416,,,Auto Disposable Syringe 1ml with needle,,Medical supply,N/A,,,DAGU Item:3034
8c3385a7-6e5d-4fc2-9089-6af6129a6b7d,,,Gauze Non Sterile 90cm x 90m,,Medical supply,N/A,,,DAGU Item:3052
77895449-c547-4fe0-b609-f0afce734780,,,Dental Needle Steralized 0.4 x42mm,,Medical supply,N/A,,,DAGU Item:3058
78aab27c-e366-46f2-970f-57bd9a6a71a9,,,Goggles For Delivery Room,,Medical supply,N/A,,,DAGU Item:3085
6d14429d-302d-454f-a8fe-2a124269e5c0,,,Sample Cups For Humastar 80,,Medical supply,N/A,,,DAGU Item:3096
e2e53870-82c0-4aed-9fad-bb55059a5b25,,,Auto Disposable Syringe 5ML detachable needle 23G,,Medical supply,N/A,,,DAGU Item:3104
1e31d7c3-f3f0-4497-a171-24695b920627,,,"Surgical Glove Sterile, Latex No 6.5",,Medical supply,N/A,,,DAGU Item:3105
6489f598-e81f-4f20-9497-17cc2b503914,,,Cat Gut Chromic 3.0(3/0) 75cm on 18 20mm 1/2circle Round Bodied Needle 2234,,Medical supply,N/A,,,DAGU Item:3115
fd0736cd-93ba-4fa1-ba93-4945e62b5a9f,,,Cover Slide 22x22mm Thickness 13 mm,,Medical supply,N/A,,,DAGU Item:3124
c772b6fb-5dfa-42d0-95bf-57304c70299a,,,Disposable Syringe 1ml,,Medical supply,N/A,,,DAGU Item:3147
739d34c9-b53a-45cf-980b-81ecea7ba242,,,BD Syringe 1ml,,Medical supply,N/A,,,DAGU Item:3168
484c27b4-a14e-47e0-bd6d-0a1fa1e5059f,,,Mosquito Bednet 160x180x150,,Medical supply,N/A,,,DAGU Item:3215
d4535fc5-2b83-43ad-89a4-1ec109634367,,,Water Proof Plaster,,Medical supply,N/A,,,DAGU Item:3217
a07ba98f-6e8f-418e-a133-5c1b33294a42,,,Recording Galss Strying 2ml,,Medical supply,N/A,,,DAGU Item:3232
2a5e9766-3312-4cde-b8ff-44737635aa11,,,Endotracheal Tube sterile CH 9,,Medical supply,N/A,,,DAGU Item:3234
2e7fd909-d98b-4d94-9d18-35c329a1288f,,,"Gauze Swab 19cm x15cm, 40/40""",,Medical supply,N/A,,,DAGU Item:3258
1669bb5c-de67-46f4-a14d-5610feb784ad,,,"Ambu Bag pedaiatrics, silicon Rubber",,Medical supply,N/A,,,DAGU Item:3269
97710f7f-3535-4d67-ada4-39b6475601a5,,,Ambu Bag Adult Large,,Medical supply,N/A,,,DAGU Item:3272
8becb6e4-6bc6-48f9-b924-03876ea84709,,,Simpson Obstetric Forceps 30cc ss,,Medical supply,N/A,,,DAGU Item:3371
ccdbd2b9-d7d7-4298-aff9-3723b803128b,,,Measuring Tape Flexable 1.5m Vinyl Coated Fibregl,,Medical supply,N/A,,,DAGU Item:3386
5fcac698-e3e2-42fe-b4f5-118902d232e2,,,Zinc Oxide Plaster 7.5cm x 5,,Medical supply,N/A,,,DAGU Item:3387
201e1259-bf62-4a3f-8005-b937c18aec58,,,Pasteur Pipette Non Ggraduated,,Medical supply,N/A,,,DAGU Item:3393
67bf7a9e-d49a-4b21-b55d-d9c77beb0185,,,Biohazard Bags Autoclave 38x48,,Medical supply,N/A,,,DAGU Item:3407
11d24233-dba9-4aaf-8f0a-bebb5f250313,,,Insulin Syringe 0.3ml 100ul/ml i think its 0.1ml,,Medical supply,N/A,,,DAGU Item:3412
79553e76-5c0c-4a18-8ab7-a38dac8b0dd1,,,Auto Disposable Syringe 0.5ml with Fixed needle 23 G,,Medical supply,N/A,,,DAGU Item:3421
ad8e34d9-51f6-4a78-855a-b0ca13a2d287,,,Torniquate,,Medical supply,N/A,,,DAGU Item:3433
d5e6b37e-f935-4e1a-b551-95291898dec8,,,Sputem Cup Stainless steel 60ml,,Medical supply,N/A,,,DAGU Item:3462
758a957a-ad36-4e0d-89e4-62d966637ed1,,,Mop Scuizer,,Medical supply,N/A,,,DAGU Item:3478
a40dfd59-d68b-4e30-9b20-dfd7ff6d4e44,,,Self Adhering Label Tape Yellow,,Medical supply,N/A,,,DAGU Item:3482
44e94f5d-bbe1-4c9d-8395-ab3d3f66de4c,,,Plastic Bed Sheet,,Medical supply,N/A,,,DAGU Item:3559
4a61fcfd-ad54-488e-a8e8-4b4d898a7d59,,,"Insulin Syringe For single use, 0.1ml ,8mm/30G,U 100, Eng+4 Nordic languages",,Medical supply,N/A,,,DAGU Item:3671
19650b3a-0a41-49e0-b83b-84c0c4ca95ec,,,"Insulin Syringe For single use, 0.3ml ,6mm/30G,U 100 Euro languages",,Medical supply,N/A,,,DAGU Item:3672
8384cf10-9273-45f9-9ae5-3951c266d3f6,,,Superpath Preservative Fluid,,Medical supply,N/A,,,DAGU Item:3673
5ff9a8d0-60c1-4ab3-8bbf-8c90e9cb970e,,,Cryogenic Vial 1.5ml (Nuc Tube),,Medical supply,N/A,,,DAGU Item:3687
52f3195b-d6de-4c3e-bcc7-320fcca5e757,,,Absorbent Pad With Plastic Backing 17x24 Inch,,Medical supply,N/A,,,DAGU Item:3727
3cef2457-221c-4223-901a-63a88bb7d3a9,,,Catheter Metal Femail 15.5cm Channel 12,,Medical supply,N/A,,,DAGU Item:3728
5b9c0fd7-9d4c-4218-b32e-ff54f27c19a1,,,Disposable Syringe 2ml Without Needle,,Medical supply,N/A,,,DAGU Item:3730
b7923c2f-e96a-4f81-abe0-b898c49afcea,,,Self Adhering Label Tape Red,,Medical supply,N/A,,,DAGU Item:3732
4f780c89-d1f3-4e98-b9ba-71d0521610a3,,,Self Adhering Label Tape blue,,Medical supply,N/A,,,DAGU Item:3733
2b3f8cbf-9e3d-421f-9f38-11e9fcb4c7a8,,,Microscope Slide 25x75mm,,Medical supply,N/A,,,DAGU Item:3794
709e4a46-7c0f-4680-882f-b01fa0d7dd39,,,"BD Vacutainer Tubes PLK2 E 4ml,7.2mg plus",,Medical supply,N/A,,,DAGU Item:3803
5349fd29-6ceb-440c-9fe2-1bb5a310ba1c,,,Marker,,Medical supply,N/A,,,DAGU Item:3804
