Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,_version:1
1de55c00-58fa-458d-8a2d-9af046bf1239,,,Face Shield Guardall,,Medical supply,N/A,,,2
a82c4e7f-2a13-4887-bd00-f3a604df32f2,,,BD Vacutainer Needle Safe Lock 23G,,Medical supply,N/A,,,2
97925592-6da5-4c33-9599-71e1d6c0b312,,,Gauze Bandage 8cm x 5cm,,Medical supply,N/A,,,2
4ce01bbf-bf66-4959-bf08-7699b9b88b17,,,Gauze Bandage 10cm x 300cm,,Medical supply,N/A,,,2
7120e9f6-7344-475c-876b-42d5c5569646,,,Hypoallergenes Klebevies 15cmx10m,,Medical supply,N/A,,,2
c4ffaad9-f1cb-40b4-a16c-98de1d9ec406,,,MC3 A ECG SCOPE,,Medical supply,N/A,,,2
9801adcd-7bf8-46f9-ad9f-0f1c8d1b723d,,,MC3 ECG SCOPE,,Medical supply,N/A,,,2
16ffda63-319d-4467-a18e-7cf481dc73e4,,,New Emergency Health Kit Supply 2 Equipment,,Medical supply,N/A,,,2
0fc2c6bf-d7a2-4c27-9ce2-5d55eeb8a9be,,,Pipette,,Medical supply,N/A,,,2
c7bcfdca-23ad-40c4-8eb5-c4ffccb99dee,,,Vacume Jar,,Medical supply,N/A,,,2
0eed2ffa-e6c9-46ef-a472-ce6cdaae1b1a,,,Adhesive Plaster Zinc Oxide 5cmx5cm,,Medical supply,N/A,,,2
ffe09bfe-60b3-4fca-b566-fbdf3e540131,,,Cotton Absorbant 500gm of 20 rolls,,Medical supply,N/A,,,2
7da2e8d3-c8fa-48d8-b847-2787aad24214,,,"Gauze Pad,12ply",,Medical supply,N/A,,,2
7e1b84da-ede8-406a-a6e0-cf26001608db,,,Demo Implants,,Medical supply,N/A,,,2
34d95077-7de5-413e-a64e-fb5ff8233943,,,Umblical Cord Tie 3mmx50 Metter,,Medical supply,N/A,,,2
101eb388-17d0-486a-854d-12393ed6e09a,,,Metal looks like syringe,,Medical supply,N/A,,,2
e5bb4dd3-c090-4072-ab6d-3ed9a34b9418,,,Over All,,Medical supply,N/A,,,2
5ee4abde-a323-4828-9579-65dd6ea50f85,,,Safety Goggles,,Medical supply,N/A,,,2
14dcf442-e4bf-43a9-bfb2-77474cac58fb,,,Helmet (Medical Supply),,Medical supply,N/A,,,2
86f9ba0a-b1fe-4b06-a72b-b5f0ec0e83ea,,,Glove,,Medical supply,N/A,,,2
533cd185-f825-48ff-8b94-ba0e2c16992c,,,Chemical Mask Double filter,,Medical supply,N/A,,,2
9b08d653-0538-4b18-8f03-abf25566e003,,,Jar for pick up forceps,,Medical supply,N/A,,,2
4093aa8c-5247-457c-ba42-cbd9dafd93fa,,,Rectal Catheter No.16,,Medical supply,N/A,,,2
db154d4c-096a-40ec-b7d3-0f4c342e30fc,,,Drugs And Medical Supplies for health post ( eight different items ),,Medical supply,N/A,,,2
53ac534a-7ce1-48dc-a856-cea8229703af,,,Gauze Bandage 4m long,,Medical supply,N/A,,,2
d93a064b-c86c-473d-8f65-8057e0838847,,,Catheter Metal for female 14cm,,Medical supply,N/A,,,2
a387cab8-9907-4aea-8792-5285fb1f0e70,,,IV Sets For Blood Bag,,Medical supply,N/A,,,2
37fa7b69-5ea8-4a02-97cd-d18b6494f9dc,,,Oral Cleap 1ml,,Medical supply,N/A,,,2
a323eea5-1e07-4d6f-96d1-43c5d06a8c8e,,,Gauze Surgical 90cmx100 yds,,Medical supply,N/A,,,2
a214116e-fd7a-4165-b453-8d7f23b3665c,,,BD Syringe 5ml with needle 21G,,Medical supply,N/A,,,2
7bbae6f4-99de-44be-bbbc-509c9bdc5049,,,Blood Transfusion Set ,,Medical supply,N/A,,,2
0fa531d1-a89e-457c-9a65-f008670f6243,,,Face Mask Pediatric,,Medical supply,N/A,,,2
